"sleep" "care" "eat" "food" "house" "clothes" "maintenance" "travel" "work" "education" "children" "shopping" "leisure" "other"
38 0 0 16 0 0 0 0 41 0 49 0 0 0
51 9 21 5 20 3 0 0 0 0 0 0 35 0
57 12 9 0 16 0 0 1 0 0 0 0 49 0
49 11 11 9 0 0 0 0 0 0 0 4 60 0
43 4 1 3 0 0 0 9 50 0 11 1 22 0
60 0 11 0 12 0 0 22 0 0 0 0 39 0
48 7 9 12 0 0 0 8 46 0 0 0 14 0
65 5 0 0 14 0 0 16 0 0 18 0 26 0
54 3 3 0 0 0 0 5 44 0 22 0 13 0
55 4 0 3 4 0 0 6 0 0 0 0 61 11
44 4 5 0 0 0 0 13 66 0 0 0 12 0
72 9 16 6 11 0 8 5 0 0 0 0 17 0
53 5 9 0 2 0 0 2 51 0 1 0 20 1
61 2 4 5 0 0 0 8 42 0 10 0 12 0
64 6 6 7 0 0 0 14 42 0 5 0 0 0
56 6 6 0 0 0 0 5 55 0 0 0 16 0
47 2 10 2 0 0 0 8 42 0 0 0 31 2
48 4 2 2 0 0 0 7 63 0 0 0 18 0
63 5 6 3 6 0 0 0 0 0 0 0 61 0
61 9 8 9 0 0 0 3 48 0 0 0 6 0
52 0 18 0 0 0 0 5 42 0 26 0 0 1
47 3 6 0 0 0 0 8 50 0 4 0 26 0
57 2 2 5 3 0 0 0 46 0 20 0 9 0
73 10 4 0 0 0 0 24 0 0 0 0 31 2
71 0 0 0 0 0 0 0 54 0 0 0 12 7
61 8 7 6 2 0 0 0 0 0 0 0 55 5
40 6 5 5 6 0 0 13 0 0 0 7 27 35
48 6 4 0 0 0 0 16 69 0 0 0 1 0
46 5 10 3 0 0 0 0 27 0 2 0 51 0
52 5 3 0 0 0 0 4 47 0 10 0 19 4
58 8 11 3 0 0 4 6 29 0 0 0 24 1
69 5 3 5 0 0 0 7 50 0 0 0 5 0
31 2 7 10 6 0 0 11 35 0 0 0 40 2
51 8 9 4 0 0 0 2 0 0 61 0 9 0
51 5 7 0 0 0 0 0 57 0 0 0 24 0
47 5 19 13 0 0 2 0 0 0 6 0 41 11
54 4 7 3 0 0 0 0 51 0 0 0 24 1
36 3 6 1 7 0 4 5 65 0 0 0 17 0
45 3 3 3 1 0 0 0 0 0 0 0 89 0
83 12 12 0 0 0 0 0 0 0 0 0 37 0
60 10 5 4 3 0 0 1 0 0 0 5 47 9
52 2 3 1 0 0 0 13 56 0 0 0 17 0
76 0 8 4 0 0 0 2 0 0 0 0 54 0
63 0 7 0 0 0 0 0 34 9 0 0 10 21
69 3 9 3 0 0 0 0 0 0 0 0 60 0
49 3 3 1 0 0 0 3 20 0 0 4 61 0
52 1 5 3 0 0 0 10 48 0 0 0 25 0
54 5 3 6 0 0 0 12 48 0 16 0 0 0
54 2 9 5 2 0 10 0 48 0 0 0 14 0
56 13 2 0 0 0 0 0 5 0 0 0 68 0
66 0 13 0 0 0 0 0 0 0 59 0 6 0
52 7 15 24 0 0 0 2 0 0 0 4 40 0
50 3 6 2 0 3 0 24 0 0 14 7 29 6
51 6 6 12 6 0 0 4 23 0 0 4 30 2
63 13 14 0 0 0 0 0 0 0 0 0 52 2
61 4 6 3 2 0 0 14 0 0 16 9 29 0
35 2 3 6 1 1 0 9 61 0 3 9 14 0
57 0 7 7 3 1 0 11 0 0 11 3 44 0
45 7 7 4 6 0 6 6 0 0 0 19 44 0
53 4 12 10 4 0 15 4 0 0 0 2 25 15
53 4 0 0 0 0 0 0 0 0 0 0 86 1
48 0 6 0 0 0 30 0 36 0 0 0 24 0
43 6 13 22 0 0 0 6 0 0 0 0 23 31
48 3 8 0 0 0 0 0 52 0 17 0 16 0
62 10 16 0 18 4 0 0 0 0 9 9 16 0
44 3 7 2 0 0 0 11 53 0 0 0 24 0
43 7 16 9 3 0 0 6 0 0 0 11 49 0
51 6 5 3 3 0 0 11 52 0 0 0 13 0
50 10 9 6 6 0 0 0 42 0 9 0 12 0
109 3 0 0 0 0 0 2 0 0 28 0 0 2
57 3 3 0 0 0 0 7 45 0 0 0 29 0
48 6 0 9 0 0 0 0 48 0 0 0 24 9
139 0 5 0 0 0 0 0 0 0 0 0 0 0
93 11 10 2 0 0 0 0 0 0 0 0 28 0
63 6 2 5 3 0 0 2 0 39 0 2 16 6
49 9 10 0 0 0 0 15 0 44 0 0 17 0
75 6 9 13 0 0 9 12 0 0 0 11 9 0
73 0 0 0 0 0 0 24 12 0 0 0 31 4
57 3 12 12 6 0 0 6 0 0 0 5 43 0
44 8 6 0 0 1 0 13 39 0 0 0 27 6
27 1 7 8 38 0 0 10 0 0 0 1 52 0
58 3 11 15 3 0 0 0 0 0 0 0 54 0
54 3 9 4 0 0 0 10 49 0 0 0 15 0
51 9 6 0 4 0 0 3 29 0 0 0 27 15
52 3 5 2 0 0 0 15 0 0 28 0 39 0
53 3 4 5 4 0 0 17 33 0 0 2 23 0
107 0 0 0 0 0 0 0 30 0 0 7 0 0
60 4 13 9 6 0 0 0 0 0 21 0 31 0
56 4 15 5 5 0 0 8 0 0 0 13 38 0
53 3 9 15 9 0 0 5 0 0 0 3 44 3
48 5 14 9 0 0 0 9 38 0 0 0 21 0
49 3 30 11 2 0 0 5 0 0 0 2 42 0
50 1 8 2 0 0 0 3 49 0 0 3 28 0
58 0 0 0 0 0 0 0 38 0 48 0 0 0
51 10 6 13 3 0 0 7 0 0 0 11 41 2
63 0 7 3 8 5 0 0 0 0 0 0 58 0
48 3 7 0 0 0 0 9 48 0 0 0 29 0
50 1 9 5 0 0 0 0 54 0 8 0 17 0
60 8 6 0 0 0 0 0 0 0 26 12 32 0
49 4 4 10 2 2 2 8 0 0 0 15 44 4
36 3 5 7 0 0 0 0 60 0 0 0 33 0
52 3 15 0 5 0 0 4 0 0 0 17 44 4
59 3 9 9 0 0 18 2 0 0 0 4 40 0
60 6 2 4 0 0 0 2 53 0 0 0 17 0
42 5 6 0 0 0 0 7 72 0 0 3 9 0
70 3 7 2 0 0 0 12 47 0 3 0 0 0
51 11 1 4 0 0 0 12 0 0 3 0 58 4
35 8 0 0 0 0 0 13 51 0 0 0 37 0
41 5 4 0 0 0 0 0 44 0 0 0 50 0
54 4 0 0 0 0 0 0 54 0 25 0 7 0
33 2 5 8 0 6 0 6 45 0 9 0 23 7
51 7 3 0 0 0 0 13 18 0 0 0 47 5
49 5 12 11 7 0 0 7 0 0 0 0 43 10
60 5 6 0 0 0 0 5 48 0 0 0 20 0
46 3 6 2 1 0 0 5 54 0 0 0 26 1
45 7 10 4 5 0 0 3 0 0 0 13 57 0
51 5 7 0 0 0 0 2 0 0 0 0 78 1
47 9 4 8 3 0 0 1 0 0 0 3 66 3
44 8 13 17 4 1 0 9 13 0 0 3 30 2
54 2 12 11 6 0 0 0 0 0 0 22 37 0
47 4 2 2 0 0 0 11 45 0 3 0 29 1
48 4 4 6 4 0 0 2 49 0 2 0 25 0
51 5 2 5 1 1 0 0 48 0 0 0 31 0
51 4 2 0 0 0 0 32 0 0 0 0 55 0
58 3 6 4 0 0 0 0 0 0 36 7 30 0
60 5 15 6 6 0 12 0 0 0 0 10 30 0
51 4 9 3 1 0 0 3 0 0 0 11 58 4
47 2 5 3 0 0 0 0 53 0 0 0 34 0
52 7 4 3 0 0 0 4 53 0 0 3 18 0
63 2 5 0 0 0 0 3 63 0 2 0 6 0
52 5 9 0 9 0 0 0 51 0 0 0 18 0
46 12 8 9 6 0 0 0 34 0 0 0 29 0
46 3 6 6 5 0 0 0 0 0 0 3 69 6
51 5 5 0 0 0 0 11 54 0 0 0 18 0
57 4 10 9 0 0 0 6 0 0 0 0 58 0
83 2 5 3 3 1 1 0 2 0 31 1 12 0
63 4 10 17 0 0 17 11 0 0 0 0 22 0
54 12 9 3 3 0 0 9 44 0 5 5 0 0
55 9 1 2 0 0 0 26 0 12 0 0 36 3
57 9 5 6 4 4 11 4 0 0 0 0 44 0
62 6 7 5 0 0 1 16 12 0 0 2 31 2
55 2 11 2 0 0 0 8 46 0 0 0 20 0
50 6 5 0 0 0 0 6 67 0 0 0 10 0
51 2 4 0 1 0 0 6 49 25 0 0 6 0
51 1 4 8 4 0 0 6 48 0 0 0 22 0
55 3 0 0 0 0 0 0 0 21 0 0 65 0
64 5 5 3 0 0 0 18 19 0 0 0 30 0
50 0 3 0 0 21 0 6 51 0 12 0 0 1
47 3 5 5 0 0 0 5 53 0 2 0 24 0
39 3 3 3 0 0 0 0 60 0 12 0 24 0
61 2 3 5 3 0 0 0 0 0 0 8 58 4
57 6 8 1 0 0 0 9 44 0 0 1 18 0
60 9 7 5 0 0 0 3 0 0 0 6 54 0
33 3 3 0 9 0 3 16 36 0 0 4 24 13
53 7 6 5 2 3 0 11 23 0 0 0 28 6
46 6 15 12 0 0 0 8 0 0 0 11 44 2
47 6 5 0 0 0 0 8 33 0 0 2 43 0
54 6 9 0 0 0 0 8 67 0 0 0 0 0
62 3 7 3 0 0 0 0 54 0 15 0 0 0
40 4 12 0 0 0 0 6 30 0 0 0 46 6
45 3 0 11 0 0 0 16 0 0 13 7 31 18
51 8 12 2 0 0 0 3 0 0 5 3 60 0
38 2 4 0 0 0 0 0 0 0 53 0 47 0
44 8 0 8 4 0 0 10 51 0 0 0 19 0
46 2 2 2 0 0 2 3 54 0 0 1 26 6
46 4 9 4 0 0 3 18 0 0 0 0 60 0
41 3 8 3 0 0 0 4 53 0 8 0 23 1
60 3 14 10 0 0 0 18 0 0 3 0 36 0
63 5 3 0 0 0 0 1 0 0 0 8 64 0
68 3 7 4 11 0 0 0 0 0 41 0 10 0
53 2 9 4 3 1 0 0 45 0 0 0 27 0
77 5 6 0 0 0 0 0 0 0 0 0 56 0
54 6 8 5 4 3 10 6 0 0 0 0 48 0
46 7 7 5 3 0 0 9 41 0 0 0 26 0
34 7 15 0 0 0 0 16 0 0 0 0 72 0
47 0 5 0 0 0 0 26 45 11 0 0 10 0
46 9 5 0 0 0 13 20 0 0 0 0 25 26
48 10 2 2 0 0 2 0 33 0 11 0 36 0
63 3 2 5 0 0 0 3 54 0 0 0 12 2
47 3 10 2 0 0 0 0 54 0 0 0 28 0
64 2 3 0 0 0 0 1 65 0 9 0 0 0
69 7 8 8 0 0 0 0 0 0 0 0 51 1
48 5 16 10 0 0 0 0 25 0 0 6 34 0
63 3 9 6 8 0 0 10 0 0 0 0 39 6
15 3 4 0 0 0 4 12 0 0 0 0 94 12
57 7 12 0 0 0 0 0 28 0 0 20 20 0
39 3 8 12 3 5 0 4 0 0 0 0 42 28
51 5 16 11 4 3 0 4 0 0 0 3 41 6
44 0 0 7 5 0 0 0 68 0 9 0 11 0
30 26 6 4 0 6 4 12 0 0 0 3 53 0
43 2 3 2 0 0 0 6 38 0 0 0 50 0
46 3 10 14 0 10 0 0 33 0 0 0 28 0
55 0 4 9 0 0 0 24 0 0 27 13 12 0
51 4 6 10 3 0 0 8 0 0 24 0 35 3
62 3 10 5 0 0 0 15 31 0 5 5 7 1
54 5 9 2 6 0 0 0 0 0 0 0 68 0
56 5 8 9 4 0 0 0 0 0 0 0 42 20
23 0 5 0 1 0 3 8 26 0 7 2 69 0
66 5 6 7 0 10 0 0 19 0 6 0 25 0
56 4 4 4 1 5 0 0 50 0 4 0 16 0
50 3 12 9 0 0 9 0 0 0 0 0 61 0
61 6 5 10 0 12 12 2 0 0 0 0 24 12
65 3 5 2 4 0 6 10 49 0 0 0 0 0
47 7 7 5 0 0 0 0 9 0 38 7 11 13
51 9 9 3 3 0 0 6 48 0 0 3 12 0
55 10 2 2 0 0 0 15 0 0 0 0 60 0
32 6 0 0 4 0 0 7 60 0 10 5 20 0
81 4 4 1 7 0 0 0 7 0 0 0 40 0
66 7 13 12 0 0 0 0 0 0 11 0 35 0
52 2 19 0 8 0 10 14 0 0 0 8 31 0
54 2 4 18 0 0 2 0 0 0 0 0 64 0
66 7 8 0 0 0 0 14 0 21 0 0 28 0
48 3 10 4 6 0 0 10 41 0 0 3 19 0
46 4 5 7 0 3 0 4 46 0 0 0 29 0
55 7 3 5 0 0 0 7 0 0 0 0 22 45
53 4 11 19 0 0 0 0 0 0 0 8 49 0
52 9 5 0 3 0 0 2 48 0 8 0 17 0
62 7 5 2 0 0 0 4 58 0 0 0 6 0
60 2 3 4 0 0 0 8 51 0 0 5 11 0
61 10 7 4 0 0 0 15 47 0 0 0 0 0
61 0 5 0 0 0 0 5 36 0 34 0 3 0
53 3 9 2 5 0 4 0 0 0 0 6 62 0
58 5 13 16 15 0 0 0 0 0 0 0 37 0
120 7 17 0 0 0 0 0 0 0 0 0 0 0
67 3 4 5 6 0 0 15 0 0 24 7 12 1
72 5 17 6 3 0 0 6 0 0 0 0 35 0
57 8 23 3 0 0 11 12 0 0 0 3 27 0
64 9 2 0 0 0 0 13 56 0 0 0 0 0
60 12 0 0 18 0 0 0 0 0 0 0 54 0
59 5 15 8 3 0 13 9 0 0 0 5 27 0
41 8 9 7 0 0 0 22 43 0 0 0 14 0
36 6 9 0 0 0 0 0 36 18 0 0 39 0
75 6 15 0 0 0 0 0 0 0 0 0 36 12
41 10 15 0 0 0 0 0 42 0 0 0 9 27
53 4 11 21 9 0 0 6 0 0 0 0 40 0
52 7 11 8 4 4 3 6 0 0 0 4 38 7
47 7 19 15 0 11 0 0 0 0 0 0 45 0
40 3 1 0 0 0 0 21 50 0 0 0 27 2
51 9 16 5 3 0 0 10 0 0 0 0 46 4
51 4 9 10 0 0 0 3 0 0 38 0 16 13
54 3 12 1 0 0 0 12 0 0 0 5 50 7
59 8 3 0 0 0 0 5 59 0 4 0 6 0
57 3 4 9 0 0 0 8 44 0 19 0 0 0
41 4 4 11 0 0 5 4 54 0 0 0 21 0
48 4 2 2 0 0 0 10 57 0 0 0 19 2
45 7 7 12 8 0 0 6 0 0 0 11 43 5
53 3 13 0 3 0 0 7 0 0 0 4 37 24
44 7 2 0 0 0 0 10 0 0 53 0 28 0
66 4 10 6 0 3 0 0 38 0 0 0 16 1
55 3 8 3 0 0 0 11 0 0 0 1 38 25
49 3 8 4 2 1 0 7 0 0 27 0 17 26
70 6 19 18 0 0 10 14 0 0 0 0 7 0
57 12 12 6 0 0 0 0 45 0 0 0 12 0
94 3 5 1 0 0 0 0 0 0 0 0 41 0
57 6 13 16 18 0 16 0 0 0 0 18 0 0
51 3 17 12 14 6 0 12 0 0 27 0 2 0
57 6 17 0 0 0 0 8 0 0 0 0 56 0
49 12 10 4 5 0 0 8 38 0 0 1 17 0
54 7 9 7 0 3 0 2 0 0 0 11 51 0
47 4 7 6 0 0 0 14 0 0 0 15 43 8
52 2 16 2 0 0 3 0 0 0 0 0 57 12
47 6 5 13 24 2 0 5 0 0 0 7 35 0
76 2 6 2 0 0 3 28 0 0 0 0 27 0
58 8 10 5 1 0 0 10 0 0 0 4 48 0
