"diet.mass" "diet.sex" "diet.hab" "PlankCop" "PlankClad" "Insectair" "Insectlarv" "BenthCrust" "BenthMussl" "Others"
"19" 125 1 2 0 25 15 0 0 0 0
"23" 110 2 1 0 0 0 20 47 8 0
"24" 140 2 1 0 0 0 8 32 0 0
"25" 178 2 1 0 0 0 10 22 18 0
"27" 154 1 1 0 0 0 2 4 4 0
"28" 146 2 1 0 0 0 10 55 35 0
"30" 112 2 1 0 0 0 20 44 6 0
"31" 141 1 1 0 0 0 15 25 40 0
"33" 80 1 2 0 65 0 0 0 0 0
"34" 113 1 2 0 48 0 2 0 0 0
"35" 125 2 2 0 12 0 0 3 0 0
"36" 94 2 2 0 27 5 1 0 0 2
"38" 103 2 2 0 35 2 3 0 0 0
"39" 90 2 2 0 45 5 0 0 0 0
"40" 115 2 2 3 18 0 2 0 0 2
"41" 130 1 2 0 30 0 5 0 0 5
"43" 117 2 1 0 1 1 7 40 1 0
"44" 80 2 1 0 0 0 4 70 1 0
"45" 133 1 1 0 0 0 7 82 1 0
"46" 97 1 1 0 0 0 1 29 0 0
"47" 106 1 1 0 30 0 10 20 10 0
"48" 124 1 1 0 0 0 0 65 10 5
"49" 114 2 1 0 1 0 48 51 0 0
"50" 161 1 1 0 33 0 10 5 30 2
"51" 74 1 1 0 11 0 8 5 1 0
"52" 87 2 1 0 40 0 0 0 0 0
"53" 68 2 1 0 40 0 0 30 2 3
"54" 78 1 1 0 0 0 4 6 0 0
"55" 133 2 1 0 5 0 0 15 40 0
"56" 64 2 1 0 40 0 5 7 8 0
"57" 78 2 1 0 15 0 0 0 0 0
"58" 89 2 1 0 7 0 0 53 0 0
"59" 64 1 1 0 10 3 2 15 30 0
"60" 89 1 1 0 60 0 0 0 0 0
"85" 119 1 1 0 0 0 10 18 0 2
"87" 112 1 1 16 2 1 0 0 1 0
"88" 133 2 1 0 2 0 7 35 4 2
"89" 120 1 1 0 1 0 7 30 2 0
"92" 76 2 1 0 3 0 3 2 0 2
"93" 128 2 1 0 0 0 5 4 1 0
"94" 94 1 1 0 0 0 0 0 0 0
"95" 154 2 1 0 0 0 8 27 5 0
"124" 92 2 1 4 0 0 7 17 0 2
"125" 79 2 1 0 0 0 5 3 2 0
"126" 70 2 1 0 4 0 3 20 3 0
"127" 73 2 1 0 7 0 5 8 0 0
"131" 84 2 1 0 4 0 5 11 0 0
"132" 80 1 1 10 4 0 1 0 5 0
"133" 70 1 1 0 0 0 7 30 3 0
"134" 83 1 1 2 2 0 4 2 0 0
"135" 122 2 1 0 6 0 12 30 2 0
"136" 100 2 1 3 2 0 10 5 0 0
"137" 121 2 2 11 7 0 2 0 0 0
"143" 106 2 1 0 1 0 4 45 10 0
"144" 120 1 1 0 0 0 5 30 5 0
"145" 129 1 1 0 1 0 7 1 1 0
"146" 117 2 1 0 11 0 4 45 10 0
"147" 138 1 1 0 6 0 6 25 3 0
"148" 115 1 1 0 7 0 2 19 2 0
"149" 135 1 1 0 2 0 13 50 5 0
"150" 132 2 1 0 15 0 1 10 4 0
"151" 122 1 1 0 0 0 0 55 5 0
"152" 134 2 1 0 3 0 6 35 6 0
"153" 119 1 1 0 3 0 6 16 0 0
"154" 62 1 1 0 1 0 36 36 7 0
"155" 94 2 1 0 6 0 4 10 0 0
"156" 76 2 1 0 6 0 2 3 5 4
"157" 77 1 1 0 4 0 0 51 5 0
"158" 95 1 1 0 5 0 4 20 1 0
"160" 75 1 2 27 21 0 2 0 0 0
"161" 107 2 2 20 26 2 1 0 0 1
"162" 104 1 2 25 15 0 0 0 0 0
"163" 95 1 2 40 29 0 1 0 0 0
"164" 75 1 2 6 4 0 0 0 0 0
"165" 99 1 2 20 13 1 1 5 0 0
